Accuracy Order,test_acc,dropout_ratio,weight_decay,learning_rate
0,0.9175,0.0,0.001,0.0037606030930863936
1,0.8943,0.0,0.001,0.01414213562373095
2,0.8536,0.05,0.001,0.0037606030930863936
3,0.8518,0.0,0.001,0.001
4,0.7075,0.05,0.001,0.001
5,0.674,0.1,0.001,0.0037606030930863936
6,0.4651,0.1,0.001,0.001
7,0.1135,0.0,0.001,0.05318295896944989
8,0.1135,0.0,0.001,0.20000000000000004
9,0.1135,0.0,0.0037606030930863936,0.001
10,0.1135,0.0,0.0037606030930863936,0.0037606030930863936
11,0.1135,0.0,0.0037606030930863936,0.05318295896944989
12,0.1135,0.0,0.0037606030930863936,0.20000000000000004
13,0.1135,0.0,0.01414213562373095,0.001
14,0.1135,0.0,0.01414213562373095,0.0037606030930863936
15,0.1135,0.0,0.01414213562373095,0.05318295896944989
16,0.1135,0.0,0.01414213562373095,0.20000000000000004
17,0.1135,0.0,0.05318295896944989,0.001
18,0.1135,0.0,0.05318295896944989,0.0037606030930863936
19,0.1135,0.0,0.05318295896944989,0.05318295896944989
20,0.1135,0.0,0.05318295896944989,0.20000000000000004
21,0.1135,0.0,0.20000000000000004,0.001
22,0.1135,0.05,0.001,0.20000000000000004
23,0.1135,0.05,0.0037606030930863936,0.0037606030930863936
24,0.1135,0.05,0.0037606030930863936,0.01414213562373095
25,0.1135,0.05,0.01414213562373095,0.0037606030930863936
26,0.1135,0.05,0.01414213562373095,0.05318295896944989
27,0.1135,0.05,0.01414213562373095,0.20000000000000004
28,0.1135,0.05,0.05318295896944989,0.01414213562373095
29,0.1135,0.05,0.05318295896944989,0.05318295896944989
30,0.1135,0.05,0.05318295896944989,0.20000000000000004
31,0.1135,0.05,0.20000000000000004,0.0037606030930863936
32,0.1135,0.05,0.20000000000000004,0.01414213562373095
33,0.1135,0.05,0.20000000000000004,0.05318295896944989
34,0.1135,0.1,0.001,0.01414213562373095
35,0.1135,0.1,0.0037606030930863936,0.01414213562373095
36,0.1135,0.1,0.0037606030930863936,0.20000000000000004
37,0.1135,0.1,0.01414213562373095,0.001
38,0.1135,0.1,0.01414213562373095,0.0037606030930863936
39,0.1135,0.1,0.01414213562373095,0.01414213562373095
40,0.1135,0.1,0.01414213562373095,0.20000000000000004
41,0.1135,0.1,0.05318295896944989,0.001
42,0.1135,0.1,0.05318295896944989,0.05318295896944989
43,0.1135,0.1,0.20000000000000004,0.001
44,0.1135,0.1,0.20000000000000004,0.0037606030930863936
45,0.1135,0.1,0.20000000000000004,0.01414213562373095
46,0.1135,0.1,0.20000000000000004,0.05318295896944989
47,0.1135,0.15000000000000002,0.001,0.001
48,0.1135,0.15000000000000002,0.001,0.0037606030930863936
49,0.1135,0.15000000000000002,0.001,0.05318295896944989
50,0.1135,0.15000000000000002,0.001,0.20000000000000004
51,0.1135,0.15000000000000002,0.0037606030930863936,0.001
52,0.1135,0.15000000000000002,0.0037606030930863936,0.0037606030930863936
53,0.1135,0.15000000000000002,0.0037606030930863936,0.01414213562373095
54,0.1135,0.15000000000000002,0.0037606030930863936,0.20000000000000004
55,0.1135,0.15000000000000002,0.01414213562373095,0.001
56,0.1135,0.15000000000000002,0.01414213562373095,0.0037606030930863936
57,0.1135,0.15000000000000002,0.01414213562373095,0.01414213562373095
58,0.1135,0.15000000000000002,0.01414213562373095,0.20000000000000004
59,0.1135,0.15000000000000002,0.05318295896944989,0.001
60,0.1135,0.15000000000000002,0.05318295896944989,0.0037606030930863936
61,0.1135,0.15000000000000002,0.05318295896944989,0.05318295896944989
62,0.1135,0.15000000000000002,0.05318295896944989,0.20000000000000004
63,0.1135,0.15000000000000002,0.20000000000000004,0.001
