test_acc,dropout_ratio,weight_decay,learning_rate
0.1032,0.2,0.20000000000000004,0.20000000000000004
0.1032,0.0,0.07142857142857144,0.1285714285714286
0.1032,0.0,0.01414213562373095,0.01414213562373095
0.1032,0.0,0.20000000000000004,0.0037606030930863936
0.1032,0.1,0.05318295896944989,0.01414213562373095
0.1028,0.0,0.014285714285714287,0.014285714285714287
0.1028,0.0,0.014285714285714287,0.0
0.1028,0.0,0.04285714285714286,0.15714285714285717
0.1028,0.0,0.20000000000000004,0.05318295896944989
0.1028,0.05,0.001,0.05318295896944989
0.1028,0.1,0.20000000000000004,0.20000000000000004
0.1028,0.05,0.0037606030930863936,0.05318295896944989
0.1028,0.05,0.0037606030930863936,0.20000000000000004
0.1028,0.05,0.05318295896944989,0.001
0.1028,0.1,0.001,0.20000000000000004
0.1028,0.1,0.0037606030930863936,0.05318295896944989
0.1028,0.15000000000000002,0.0037606030930863936,0.05318295896944989
0.1028,0.15000000000000002,0.20000000000000004,0.20000000000000004
0.1028,0.0,0.20000000000000004,0.01414213562373095
0.1028,0.2,0.01414213562373095,0.20000000000000004
0.1028,0.2,0.05318295896944989,0.001
0.1028,0.2,0.001,0.0037606030930863936
0.101,0.0,0.014285714285714287,0.07142857142857144
0.101,0.0,0.0,0.1142857142857143
0.101,0.0,0.0,0.08571428571428572
0.101,0.0,0.0,0.07142857142857144
0.10099999999999999,0.0,0.20000000000000004,0.20000000000000004
0.10099999999999999,0.0,0.05318295896944989,0.01414213562373095
0.10099999999999999,0.05,0.0037606030930863936,0.001
0.10099999999999999,0.05,0.01414213562373095,0.001
0.10099999999999999,0.1,0.0037606030930863936,0.0037606030930863936
0.10099999999999999,0.15000000000000002,0.05318295896944989,0.01414213562373095
0.10099999999999999,0.2,0.01414213562373095,0.05318295896944989
0.10099999999999999,0.2,0.05318295896944989,0.01414213562373095
0.10099999999999999,0.2,0.20000000000000004,0.01414213562373095
0.1009,0.05,0.20000000000000004,0.20000000000000004
0.1009,0.0,0.05714285714285715,0.08571428571428572
0.1009,0.0,0.0,0.18571428571428572
0.1009,0.0,0.0,0.2
0.1009,0.0,0.0,0.1285714285714286
0.0982,0.1,0.01414213562373095,0.05318295896944989
0.0982,0.0,0.0,0.1
0.0982,0.2,0.001,0.05318295896944989
0.0982,0.0,0.014285714285714287,0.05714285714285715
0.0982,0.0,0.0037606030930863936,0.01414213562373095
0.098,0.05,0.05318295896944989,0.0037606030930863936
0.098,0.0,0.0,0.0
0.098,0.1,0.001,0.05318295896944989
0.098,0.1,0.05318295896944989,0.0037606030930863936
0.098,0.1,0.05318295896944989,0.20000000000000004
0.098,0.15000000000000002,0.01414213562373095,0.05318295896944989
0.0974,0.0,0.0,0.15714285714285717
0.0974,0.05,0.001,0.01414213562373095
0.0974,0.05,0.01414213562373095,0.01414213562373095
0.0958,0.1,0.0037606030930863936,0.001
0.0958,0.15000000000000002,0.001,0.01414213562373095
0.0958,0.2,0.0037606030930863936,0.0037606030930863936
0.0958,0.2,0.20000000000000004,0.0037606030930863936
